"outcomeName","trueLogRr","logRr","seLogRr"
"Verruca vulgaris","0.69314718055994495","0.90143345826661503","0.063919164392459399"
"Verruca vulgaris","1.3862943611198899","1.5463778337548399","0.054467018636832003"
"Verruca vulgaris","0.405465108108164","0.61766550316150903","0.069728987081497606"
"Verruca vulgaris","0","0.21998252867139401","0.079949286746606105"
"Osteomyelitis","0","-0.40417993493309001","0.13427322016961701"
"Simple goiter","0","-0.051064992142527597","0.097129646561522801"
"Simple goiter","0.69314718055994495","0.63842568323276605","0.076108176093021701"
"Simple goiter","1.3862943611198899","1.2980491841319199","0.063266755013368994"
"Simple goiter","0.405465108108164","0.35683013413621401","0.083546776473678905"
"Seborrheic keratosis","1.3862943611198899","1.3580010976474699","0.033506559485558099"
"Seborrheic keratosis","0.69314718055994495","0.81689745327968999","0.0386322103492691"
"Seborrheic keratosis","0","0.13454198682642399","0.048847489970445003"
"Seborrheic keratosis","0.405465108108164","0.53462580662853398","0.042415706694496798"
"Diabetic renal disease","0.69314718055994495","0.246117233448894","0.063008140483130706"
"Diabetic renal disease","0","-0.44702983740450503","0.082628167769944902"
"Diabetic renal disease","0.405465108108164","-0.026526841345237199","0.0698376026318826"
"Diabetic renal disease","1.3862943611198899","0.93641906245847095","0.050616876202112901"
"Urge incontinence of urine","0.69314718055994495","0.488869716986776","0.071872279093218305"
"Urge incontinence of urine","0","-0.20084687767961901","0.092716494415512898"
"Urge incontinence of urine","1.3862943611198899","1.1576674428865801","0.059127537086605501"
"Urge incontinence of urine","0.405465108108164","0.20004152621469401","0.079509198644769394"
"Gallstone","0.69314718055994495","0.432919405317994","0.050878908063714798"
"Gallstone","0.405465108108164","0.15737969098944599","0.055967629667258101"
"Gallstone","0","-0.24464290075098499","0.065300206672248298"
"Gallstone","1.3862943611198899","1.06859965155448","0.041952769757266702"
"Hyperplasia of prostate","0.69314718055994495","0.77846363449134104","0.043773176529771897"
"Hyperplasia of prostate","0.405465108108164","0.49921409422207902","0.047667942292121998"
"Hyperplasia of prostate","0","0.078364200408560805","0.055516026244049797"
"Hyperplasia of prostate","1.3862943611198899","1.37595385731207","0.037334602197308803"
"Dysuria","0.69314718055994495","0.48786473599458002","0.044557305054854897"
"Dysuria","0","-0.18439376767452501","0.057099655458082897"
"Dysuria","0.405465108108164","0.21502378075682901","0.049054748005464797"
"Dysuria","1.3862943611198899","1.09783091040903","0.037150792370765698"
"Prolapse of female genital organs","0","0.036792266789517303","0.179716422119336"
"Crohn's disease","1.3862943611198899","1.4179984650000901","0.067013837245251104"
"Crohn's disease","0.405465108108164","0.45093663852565502","0.087880748456659802"
"Crohn's disease","0.69314718055994495","0.74251718092072905","0.079988036814306399"
"Crohn's disease","0","0.045471671239602197","0.10159414277449499"
"Bronchiectasis","0","-0.101411255055233","0.140356431547769"
"Allergic rhinitis","0.405465108108164","0.54035666476474897","0.046001055043821501"
"Allergic rhinitis","1.3862943611198899","1.3789891931835601","0.036307668459864703"
"Allergic rhinitis","0","0.14814616130991301","0.052825691471843302"
"Allergic rhinitis","0.69314718055994495","0.80638737632727597","0.042270893788560499"
"Chronic sinusitis","0","0.19506554960446701","0.061484925788668397"
"Chronic sinusitis","1.3862943611198899","1.47814500911351","0.042211610775593898"
"Chronic sinusitis","0.69314718055994495","0.86161880300126803","0.049339375648282398"
"Chronic sinusitis","0.405465108108164","0.59868716614222905","0.053421652316405298"
"Acute bronchitis","0.405465108108164","0.39738255211254597","0.038229481639750401"
"Acute bronchitis","0.69314718055994495","0.64421114442586802","0.035378618631768"
"Acute bronchitis","1.3862943611198899","1.18830859048879","0.030264571340085599"
"Acute bronchitis","0","0.0069103095355566996","0.0441085785670456"
"Atelectasis","0.69314718055994495","0.39579305585008001","0.033822755338072497"
"Atelectasis","0","-0.2539015780669","0.042959795344399698"
"Atelectasis","1.3862943611198899","0.93574591342533897","0.028647648209786901"
"Atelectasis","0.405465108108164","0.13778375814513399","0.036970943799359002"
"Sleep apnea","0.69314718055994495","0.93454967542144496","0.036586348122604098"
"Sleep apnea","0.405465108108164","0.67987737958902505","0.039436741836368298"
"Sleep apnea","1.3862943611198899","1.46308257092323","0.031970407980802099"
"Sleep apnea","0","0.29805651628621299","0.0449195127199193"
"Bundle branch block","0.405465108108164","0.33552009074194","0.053715306159530601"
"Bundle branch block","0.69314718055994495","0.59974365074533298","0.049137888922137503"
"Bundle branch block","1.3862943611198899","1.2264925393903501","0.041083254668216197"
"Bundle branch block","0","-0.065920774946510496","0.062355288055044297"
"Otitis media","0.69314718055994495","0.803070695615416","0.0638761121095172"
"Otitis media","0","0.12201587433366499","0.080365823434485797"
"Otitis media","1.3862943611198899","1.4424876989764199","0.054169912952057697"
"Otitis media","0.405465108108164","0.52748082517125106","0.0695474323570065"
"Presbyopia","0","-0.080784532956312993","0.057413628336445102"
"Presbyopia","0.69314718055994495","0.59420381189625504","0.0451684409199462"
"Presbyopia","0.405465108108164","0.31693853861550397","0.049571268864846203"
"Presbyopia","1.3862943611198899","1.20129081914253","0.037848173485176898"
"Multiple sclerosis","0","-0.45090719427701698","0.41961932005177"
"Blepharitis","1.3862943611198899","1.28816664203364","0.041582006942091597"
"Blepharitis","0.405465108108164","0.39874008292052798","0.0539717901543856"
"Blepharitis","0.69314718055994495","0.67582396372516795","0.049193288073620597"
"Blepharitis","0","-0.0037174338564763799","0.062492005737173"
"Obesity","0","0.088548750812907598","0.048481299616119702"
"Obesity","1.3862943611198899","1.3032407915987201","0.033319685961786"
"Obesity","0.69314718055994495","0.74937696849269297","0.038709417484425697"
"Obesity","0.405465108108164","0.48097268330526899","0.042187575319978"
"Cellulitis","0.405465108108164","0.207227780164082","0.038753798997559402"
"Cellulitis","0","-0.18065091046779799","0.044688674580231499"
"Cellulitis","0.69314718055994495","0.477008639895728","0.035304007811830601"
"Cellulitis","1.3862943611198899","1.03121437086065","0.0297440201662484"
"Dyssomnia","0.405465108108164","0.40075477392362502","0.040722285414919297"
"Dyssomnia","0","0.0139501780931996","0.0468825763541569"
"Dyssomnia","0.69314718055994495","0.662416257860443","0.037460995385666503"
"Dyssomnia","1.3862943611198899","1.22828889627561","0.031887916305673197"
"Psychotic disorder","0.69314718055994495","0.26665952463183401","0.054576899625047297"
"Psychotic disorder","0","-0.42225922573067298","0.071316617347446196"
"Psychotic disorder","1.3862943611198899","0.91982276199968305","0.044214908659854703"
"Psychotic disorder","0.405465108108164","-0.021022444955963698","0.060712914169326997"
"Human papilloma virus infection","0.69314718055994495","0.93886034485153902","0.060039319777494701"
"Human papilloma virus infection","1.3862943611198899","1.5652800934425699","0.051517153945029898"
"Human papilloma virus infection","0.405465108108164","0.64294807692800404","0.065731125656762396"
"Human papilloma virus infection","0","0.245713472687249","0.075273210711113397"
"Anxiety disorder","0.69314718055994495","0.46733790320443303","0.039342046093307"
"Anxiety disorder","0","-0.18307642134496899","0.049969147693307403"
"Anxiety disorder","0.405465108108164","0.20632406170114601","0.043094522283434501"
"Anxiety disorder","1.3862943611198899","1.0593887254676699","0.032838836031285297"
"Barrett's esophagus","0","0.089137525685758806","0.14026007489617201"
"Neurologic disorder associated with diabetes mellitus","0.69314718055994495","0.398867390448993","0.052002188435783102"
"Neurologic disorder associated with diabetes mellitus","1.3862943611198899","1.0389713885748899","0.042879970907205703"
"Neurologic disorder associated with diabetes mellitus","0.405465108108164","0.095065944165086","0.058114795621544299"
"Neurologic disorder associated with diabetes mellitus","0","-0.33571694217088199","0.0686555068203063"
"Plantar fasciitis","0.69314718055994495","0.95779370703892996","0.077659310861849601"
"Plantar fasciitis","0","0.271380857459323","0.096780900744659698"
"Plantar fasciitis","1.3862943611198899","1.61482221704074","0.066315718838444199"
"Plantar fasciitis","0.405465108108164","0.67908022868032603","0.084438324372773599"
"Gammopathy","0","-0.26301808481634198","0.11072575854637701"
"Gammopathy","0.69314718055994495","0.43012909787984499","0.085345652722767604"
"Gammopathy","1.3862943611198899","1.0905683183949","0.069859357202934305"
"Gammopathy","0.405465108108164","0.13914122767453499","0.094723779885705101"
"Fracture of upper limb","0.405465108108164","0.26393081070021401","0.070139237280500796"
"Fracture of upper limb","0","-0.13801928960035401","0.081631877062123104"
"Fracture of upper limb","1.3862943611198899","1.2066297348661801","0.052690631467718498"
"Fracture of upper limb","0.69314718055994495","0.55249273839759105","0.0636318104021628"
"Superficial mycosis","1.3862943611198899","1.2489504893876999","0.048347492965105897"
"Superficial mycosis","0","-0.069409294116985903","0.0736843660484887"
"Superficial mycosis","0.405465108108164","0.33605576034234202","0.063492229713939197"
"Superficial mycosis","0.69314718055994495","0.60232349614830905","0.057888241249464498"
"Malignant tumor of breast","0","-0.43289087490504002","0.17809492634740401"
"Communication disorder","0","-0.056298962213200299","0.0811645654721245"
"Communication disorder","0.69314718055994495","0.63684805874587003","0.063470110670707403"
"Communication disorder","0.405465108108164","0.352561645823598","0.069756145427316493"
"Communication disorder","1.3862943611198899","1.2789697623573699","0.053133181808629498"
"Arthritis of spine","1.3862943611198899","1.07929780050916","0.030191528783525601"
"Arthritis of spine","0.405465108108164","0.270175137711614","0.039043809209486899"
"Arthritis of spine","0","-0.12612285352466701","0.0452530231016227"
"Arthritis of spine","0.69314718055994495","0.52928384782582705","0.035651963858312097"
"Diabetic retinopathy","0","-0.441479328915726","0.111272862777702"
"Inflammation of sacroiliac joint","0","0.115489291085938","0.118392172816686"
"Cutis laxa","0.69314718055994495","0.67761640051445604","0.071424310243771993"
"Cutis laxa","0.405465108108164","0.39205533972033602","0.078438791907429695"
"Cutis laxa","0","-0.015530508236915701","0.091072512689006194"
"Cutis laxa","1.3862943611198899","1.3218137704925901","0.059889059551169098"
"Arthropathy of knee joint","0.405465108108164","0.29969844108451699","0.0405010156959109"
"Arthropathy of knee joint","1.3862943611198899","1.0992470691610099","0.0316001406944788"
"Arthropathy of knee joint","0","-0.10924488539702901","0.047209423677408199"
"Arthropathy of knee joint","0.69314718055994495","0.55920962389668605","0.037088483770405203"
